judge,face,cond,C1,C2,rating
66,13,A,-0.5,0,1
20,13,A,-0.5,0,4
22,13,A,-0.5,0,7
69,13,A,-0.5,0,1
7,13,A,-0.5,0,3
41,13,A,-0.5,0,1
60,13,A,-0.5,0,3
19,13,A,-0.5,0,1
59,13,A,-0.5,0,1
15,13,A,-0.5,0,6
51,13,A,-0.5,0,1
8,13,A,-0.5,0,2
32,13,A,-0.5,0,3
6,13,A,-0.5,0,1
28,13,A,-0.5,0,1
10,13,A,-0.5,0,1
26,13,A,-0.5,0,5
53,13,A,-0.5,0,1
46,13,A,-0.5,0,5
24,13,A,-0.5,0,1
34,13,A,-0.5,0,1
16,13,A,-0.5,0,1
58,13,A,-0.5,0,2
12,13,A,-0.5,0,1
39,13,A,-0.5,0,2
38,13,A,-0.5,0,4
37,13,A,-0.5,0,1
43,13,A,-0.5,0,1
3,13,A,-0.5,0,1
54,13,A,-0.5,0,2
11,13,A,-0.5,0,2
61,13,A,-0.5,0,1
13,13,A,-0.5,0,1
70,13,A,-0.5,0,1
44,13,A,-0.5,0,4
14,13,A,-0.5,0,2
17,13,A,-0.5,0,1
27,13,A,-0.5,0,3
55,13,A,-0.5,0,3
36,13,A,-0.5,0,3
5,13,A,-0.5,0,2
21,13,A,-0.5,0,2
48,13,A,-0.5,0,1
23,13,A,-0.5,0,2
2,13,A,-0.5,0,2
35,13,A,-0.5,0,2
1,13,A,-0.5,0,6
67,13,A,-0.5,0,1
29,13,A,-0.5,0,7
52,13,A,-0.5,0,2
62,13,A,-0.5,0,2
50,13,A,-0.5,0,1
4,13,A,-0.5,0,3
9,13,A,-0.5,0,1
56,13,A,-0.5,0,3
49,13,A,-0.5,0,4
64,13,A,-0.5,0,1
47,13,A,-0.5,0,3
68,13,A,-0.5,0,1
63,13,A,-0.5,0,2
42,13,A,-0.5,0,1
31,13,A,-0.5,0,2
33,13,A,-0.5,0,1
57,13,A,-0.5,0,6
25,13,A,-0.5,0,2
45,13,A,-0.5,0,2
30,13,A,-0.5,0,3
18,13,A,-0.5,0,2
40,13,A,-0.5,0,1
65,13,A,-0.5,0,1
66,21,A,-0.5,0,1
20,21,A,-0.5,0,2
22,21,A,-0.5,0,6
69,21,A,-0.5,0,3
7,21,A,-0.5,0,2
41,21,A,-0.5,0,1
60,21,A,-0.5,0,3
19,21,A,-0.5,0,1
59,21,A,-0.5,0,1
15,21,A,-0.5,0,3
51,21,A,-0.5,0,1
8,21,A,-0.5,0,2
32,21,A,-0.5,0,1
6,21,A,-0.5,0,1
28,21,A,-0.5,0,3
10,21,A,-0.5,0,1
26,21,A,-0.5,0,4
53,21,A,-0.5,0,1
46,21,A,-0.5,0,1
24,21,A,-0.5,0,2
34,21,A,-0.5,0,1
16,21,A,-0.5,0,1
58,21,A,-0.5,0,1
12,21,A,-0.5,0,1
39,21,A,-0.5,0,1
38,21,A,-0.5,0,1
37,21,A,-0.5,0,1
43,21,A,-0.5,0,2
3,21,A,-0.5,0,1
54,21,A,-0.5,0,1
11,21,A,-0.5,0,1
61,21,A,-0.5,0,2
13,21,A,-0.5,0,1
70,21,A,-0.5,0,1
44,21,A,-0.5,0,1
14,21,A,-0.5,0,2
17,21,A,-0.5,0,2
27,21,A,-0.5,0,1
55,21,A,-0.5,0,3
36,21,A,-0.5,0,2
5,21,A,-0.5,0,1
21,21,A,-0.5,0,2
48,21,A,-0.5,0,2
23,21,A,-0.5,0,2
2,21,A,-0.5,0,1
35,21,A,-0.5,0,2
1,21,A,-0.5,0,6
67,21,A,-0.5,0,3
29,21,A,-0.5,0,6
52,21,A,-0.5,0,2
62,21,A,-0.5,0,1
50,21,A,-0.5,0,1
4,21,A,-0.5,0,4
9,21,A,-0.5,0,1
56,21,A,-0.5,0,1
49,21,A,-0.5,0,2
64,21,A,-0.5,0,1
47,21,A,-0.5,0,1
68,21,A,-0.5,0,1
63,21,A,-0.5,0,2
42,21,A,-0.5,0,1
31,21,A,-0.5,0,3
33,21,A,-0.5,0,1
57,21,A,-0.5,0,3
25,21,A,-0.5,0,2
45,21,A,-0.5,0,1
30,21,A,-0.5,0,4
18,21,A,-0.5,0,2
40,21,A,-0.5,0,2
65,21,A,-0.5,0,5
66,22,A,-0.5,0,4
20,22,A,-0.5,0,4
22,22,A,-0.5,0,6
69,22,A,-0.5,0,6
7,22,A,-0.5,0,2
41,22,A,-0.5,0,6
60,22,A,-0.5,0,3
19,22,A,-0.5,0,6
59,22,A,-0.5,0,5
15,22,A,-0.5,0,5
51,22,A,-0.5,0,6
8,22,A,-0.5,0,6
32,22,A,-0.5,0,2
6,22,A,-0.5,0,2
28,22,A,-0.5,0,4
10,22,A,-0.5,0,4
26,22,A,-0.5,0,5
53,22,A,-0.5,0,5
46,22,A,-0.5,0,5
24,22,A,-0.5,0,4
34,22,A,-0.5,0,1
16,22,A,-0.5,0,5
58,22,A,-0.5,0,3
12,22,A,-0.5,0,4
39,22,A,-0.5,0,4
38,22,A,-0.5,0,4
37,22,A,-0.5,0,4
43,22,A,-0.5,0,2
3,22,A,-0.5,0,5
54,22,A,-0.5,0,5
11,22,A,-0.5,0,3
61,22,A,-0.5,0,7
13,22,A,-0.5,0,3
70,22,A,-0.5,0,7
44,22,A,-0.5,0,7
14,22,A,-0.5,0,3
17,22,A,-0.5,0,4
27,22,A,-0.5,0,4
55,22,A,-0.5,0,6
36,22,A,-0.5,0,4
5,22,A,-0.5,0,5
21,22,A,-0.5,0,2
48,22,A,-0.5,0,1
23,22,A,-0.5,0,2
